"Country","Total population","Total English speakers","Percentage","Source"
"Algeria",35954000,2516780,0.07,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"American Samoa",57345,45933,0.801,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Andorra",81222,17868,0.22,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Anguilla",13000,12000,0.9231,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Antigua and Barbuda",85000,68000,0.8,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Argentina",42192500,2750951,0.0652,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Aruba",104000,44002,0.4231,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Australia",21394309,20752479,0.97,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Austria",8415000,6142950,0.73,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Bahamas",330549,288007,0.8713,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Bangladesh",163323100,29398158,0.18,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Barbados",279000,275010,0.9857,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Belgium",10584534,6350720,0.6,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Belize",301270,245986,0.8165,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Bermuda",65000,62998,0.9692,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Botswana",1639833,630023,0.3842,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Brazil",205000000,10250000,0.05,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"British Virgin Islands",23000,20000,0.8696,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Brunei",381371,149001,0.3907,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Bulgaria",7640238,1910059,0.25,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Cameroon",19740000,7501200,0.38,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Canada",37138500,29747938,0.801,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Cayman Islands",47000,36002,0.766,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Chile",16634603,1585277,0.0953,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"China",1210000000,10890000,0.009,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Colombia",47661368,2011309,0.0422,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Cook Islands",20200,3999,0.198,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Costa Rica",4910526,402663,0.082,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Croatia",4555000,2231950,0.49,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Cyprus",839000,612470,0.73,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Czechia",10562214,2851797,0.27,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Denmark",5543000,4766980,0.86,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Dominica",67000,63000,0.9403,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Egypt",83289500,29151325,0.35,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Estonia",1294236,647118,0.5,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Eswatini",1141000,49975,0.0438,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Federated States of Micronesia",111000,64002,0.5766,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Fiji",853445,175980,0.2062,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Finland",5410000,3787000,0.7,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"France",65350000,25486500,0.39,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Germany",80600000,45136000,0.56,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Ghana",27000000,18000900,0.6667,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Gibraltar",28875,28875,1,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Greece",10787690,5501721,0.51,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Grenada",110000,100001,0.9091,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Guam",173456,158001,0.9109,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Guyana",751000,680030,0.9055,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
"Hong Kong",6808433,3136645,0.4607,"https://en.wikipedia.org/wiki/List_of_countries_by_English-speaking_population"
